,Data-set,Algorithm,Support,Run-time,Memory,Patterns
354,Buoys,LCM-GRAD,0.6,229.05,53995.0,33.0
416,Buoys,LCM-GRAD,0.6,232.79,53995.0,33.0
446,Buoys,LCM-GRAD,0.6,223.87,53995.0,33.0
500,Buoys,LCM-GRAD,0.6,224.72,53995.0,33.0
538,Buoys,LCM-GRAD,0.6,228.91,53995.0,33.0
24,Buoys,ACO-GRAANK,0.7,0.0569,120.6,4.0
55,Buoys,ACO-GRAANK,0.7,0.2301,190.1,6.0
89,Buoys,ACO-GRAANK,0.7,0.0628,126.1,3.0
96,Buoys,ACO-GRAANK,0.7,0.1097,160.7,4.0
202,Buoys,ACO-GRAANK,0.7,0.0559,120.1,3.0
247,Buoys,ACO-GRAANK,0.7,0.1978,162.4,7.0
419,Buoys,ACO-GRAANK,0.7,0.21,175.5,6.0
590,Buoys,ACO-GRAANK,0.7,0.1835,161.6,7.0
640,Buoys,ACO-GRAANK,0.7,0.1335,167.0,5.0
201,Buoys,ACO-LCM,0.7,2.759,440.0,5.0
229,Buoys,ACO-LCM,0.7,2.6105,433.3,3.0
262,Buoys,ACO-LCM,0.7,2.5815,435.5,3.0
276,Buoys,ACO-LCM,0.7,2.5658,435.8,3.0
324,Buoys,ACO-LCM,0.7,2.5462,428.9,2.0
407,Buoys,ACO-LCM,0.7,3.3474,443.5,11.0
451,Buoys,ACO-LCM,0.7,2.5119,428.5,2.0
498,Buoys,ACO-LCM,0.7,2.948,443.0,7.0
539,Buoys,ACO-LCM,0.7,3.1914,442.4,9.0
87,Buoys,GRAANK,0.7,2.1809,107.7,32.0
101,Buoys,GRAANK,0.7,2.1852,107.7,32.0
107,Buoys,GRAANK,0.7,2.1906,107.7,32.0
168,Buoys,GRAANK,0.7,2.1849,107.7,32.0
237,Buoys,GRAANK,0.7,2.1723,107.7,32.0
308,Buoys,GRAANK,0.7,2.1891,107.7,32.0
423,Buoys,GRAANK,0.7,2.1585,107.7,32.0
497,Buoys,GRAANK,0.7,2.1657,107.6,32.0
635,Buoys,GRAANK,0.7,2.1835,107.7,32.0
93,Buoys,LCM-GRAD,0.7,157.48,53183.0,33.0
153,Buoys,LCM-GRAD,0.7,163.06,53183.0,33.0
164,Buoys,LCM-GRAD,0.7,156.84,53183.0,33.0
312,Buoys,LCM-GRAD,0.7,157.55,53183.0,33.0
455,Buoys,LCM-GRAD,0.7,160.49,53183.0,33.0
465,Buoys,LCM-GRAD,0.7,163.61,53183.0,33.0
475,Buoys,LCM-GRAD,0.7,161.95,53183.0,33.0
598,Buoys,LCM-GRAD,0.7,158.22,53183.0,33.0
637,Buoys,LCM-GRAD,0.7,163.51,53183.0,33.0
114,Buoys,ACO-GRAANK,0.8,0.4156,235.5,3.0
310,Buoys,ACO-GRAANK,0.8,0.155,153.4,4.0
369,Buoys,ACO-GRAANK,0.8,0.3918,230.4,2.0
395,Buoys,ACO-GRAANK,0.8,0.0775,144.1,2.0
490,Buoys,ACO-GRAANK,0.8,0.1071,171.7,3.0
506,Buoys,ACO-GRAANK,0.8,0.3689,200.3,4.0
510,Buoys,ACO-GRAANK,0.8,0.0443,130.3,1.0
552,Buoys,ACO-GRAANK,0.8,0.4295,234.8,3.0
657,Buoys,ACO-GRAANK,0.8,0.298,166.2,6.0
99,Buoys,ACO-LCM,0.8,3.5361,439.9,10.0
111,Buoys,ACO-LCM,0.8,3.0049,443.3,6.0
147,Buoys,ACO-LCM,0.8,3.3531,440.9,9.0
213,Buoys,ACO-LCM,0.8,2.4933,426.5,2.0
357,Buoys,ACO-LCM,0.8,3.0947,439.2,6.0
412,Buoys,ACO-LCM,0.8,3.4646,440.6,10.0
413,Buoys,ACO-LCM,0.8,3.3167,439.7,8.0
505,Buoys,ACO-LCM,0.8,2.7365,431.0,3.0
649,Buoys,ACO-LCM,0.8,2.8368,430.3,3.0
190,Buoys,GRAANK,0.8,1.6192,84.4,16.0
246,Buoys,GRAANK,0.8,1.6344,84.4,16.0
250,Buoys,GRAANK,0.8,1.625,84.4,16.0
256,Buoys,GRAANK,0.8,1.6262,84.4,16.0
306,Buoys,GRAANK,0.8,1.6246,84.4,16.0
327,Buoys,GRAANK,0.8,1.6327,84.4,16.0
397,Buoys,GRAANK,0.8,1.6372,84.4,16.0
440,Buoys,GRAANK,0.8,1.6239,84.4,16.0
570,Buoys,GRAANK,0.8,1.628,84.4,16.0
8,Buoys,LCM-GRAD,0.8,130.43,50920.0,32.0
80,Buoys,LCM-GRAD,0.8,129.06,50920.0,32.0
130,Buoys,LCM-GRAD,0.8,133.65,50920.0,32.0
150,Buoys,LCM-GRAD,0.8,130.92,50920.0,32.0
215,Buoys,LCM-GRAD,0.8,130.89,51160.0,32.0
217,Buoys,LCM-GRAD,0.8,132.36,50920.0,32.0
249,Buoys,LCM-GRAD,0.8,129.11,50920.0,32.0
447,Buoys,LCM-GRAD,0.8,134.61,50920.0,32.0
673,Buoys,LCM-GRAD,0.8,132.6,50920.0,32.0
4,Buoys,ACO-GRAANK,0.9,0.7316,263.0,0.0
9,Buoys,ACO-GRAANK,0.9,1.1242,207.2,1.0
47,Buoys,ACO-GRAANK,0.9,0.7181,196.4,0.0
65,Buoys,ACO-GRAANK,0.9,0.2251,203.2,1.0
128,Buoys,ACO-GRAANK,0.9,0.088,154.4,1.0
137,Buoys,ACO-GRAANK,0.9,0.4315,219.4,2.0
166,Buoys,ACO-GRAANK,0.9,0.1065,163.8,1.0
542,Buoys,ACO-GRAANK,0.9,1.5095,241.4,0.0
554,Buoys,ACO-GRAANK,0.9,0.191,187.1,2.0
31,Buoys,ACO-LCM,0.9,3.4207,437.3,8.0
43,Buoys,ACO-LCM,0.9,3.3338,438.1,6.0
73,Buoys,ACO-LCM,0.9,3.5629,437.2,8.0
103,Buoys,ACO-LCM,0.9,3.2591,438.6,7.0
159,Buoys,ACO-LCM,0.9,3.1246,436.1,5.0
186,Buoys,ACO-LCM,0.9,3.2539,436.5,6.0
261,Buoys,ACO-LCM,0.9,3.8648,438.1,11.0
263,Buoys,ACO-LCM,0.9,3.9063,437.8,10.0
575,Buoys,ACO-LCM,0.9,2.6539,425.1,2.0
35,Buoys,GRAANK,0.9,1.5038,65.9,4.0
50,Buoys,GRAANK,0.9,1.5112,65.9,4.0
67,Buoys,GRAANK,0.9,1.504,65.9,4.0
144,Buoys,GRAANK,0.9,1.5085,65.9,4.0
248,Buoys,GRAANK,0.9,1.4943,65.9,4.0
404,Buoys,GRAANK,0.9,1.5082,65.9,4.0
472,Buoys,GRAANK,0.9,1.4955,65.9,4.0
528,Buoys,GRAANK,0.9,1.5074,65.9,4.0
672,Buoys,GRAANK,0.9,1.5084,65.9,4.0
36,Buoys,LCM-GRAD,0.9,116.4,47836.0,30.0
66,Buoys,LCM-GRAD,0.9,118.58,47836.0,30.0
161,Buoys,LCM-GRAD,0.9,112.4,47836.0,30.0
189,Buoys,LCM-GRAD,0.9,113.01,47836.0,30.0
315,Buoys,LCM-GRAD,0.9,113.76,47836.0,30.0
374,Buoys,LCM-GRAD,0.9,114.9,47836.0,30.0
466,Buoys,LCM-GRAD,0.9,113.27,47836.0,30.0
481,Buoys,LCM-GRAD,0.9,115.15,47836.0,30.0
537,Buoys,LCM-GRAD,0.9,114.73,47821.0,30.0
38,C2K,ACO-GRAANK,0.5,2.3162,252.3,25.0
39,C2K,ACO-GRAANK,0.5,0.3579,209.9,12.0
272,C2K,ACO-GRAANK,0.5,0.175,168.7,3.0
330,C2K,ACO-GRAANK,0.5,2.5857,223.4,27.0
364,C2K,ACO-GRAANK,0.5,0.4568,222.1,12.0
410,C2K,ACO-GRAANK,0.5,0.3898,216.5,9.0
499,C2K,ACO-GRAANK,0.5,0.1813,174.9,5.0
540,C2K,ACO-GRAANK,0.5,0.485,222.9,13.0
578,C2K,ACO-GRAANK,0.5,0.6321,228.0,13.0
135,C2K,ACO-LCM,0.5,11.405,803.5,194.0
251,C2K,ACO-LCM,0.5,11.362,800.6,197.0
442,C2K,ACO-LCM,0.5,11.548,776.7,194.0
483,C2K,ACO-LCM,0.5,8.9705,754.1,107.0
502,C2K,ACO-LCM,0.5,11.282,781.8,196.0
524,C2K,ACO-LCM,0.5,11.261,767.8,192.0
535,C2K,ACO-LCM,0.5,11.433,770.4,194.0
549,C2K,ACO-LCM,0.5,11.825,799.9,197.0
655,C2K,ACO-LCM,0.5,11.052,781.9,192.0
25,C2K,GRAANK,0.5,58.13,217.9,802.0
210,C2K,GRAANK,0.5,57.965,218.0,802.0
281,C2K,GRAANK,0.5,57.475,218.0,802.0
366,C2K,GRAANK,0.5,58.248,218.0,802.0
438,C2K,GRAANK,0.5,57.956,218.0,802.0
453,C2K,GRAANK,0.5,58.479,218.0,802.0
457,C2K,GRAANK,0.5,58.224,217.9,802.0
469,C2K,GRAANK,0.5,57.625,218.0,802.0
656,C2K,GRAANK,0.5,58.553,218.0,802.0
149,C2K,ACO-GRAANK,0.6,0.7861,230.6,14.0
228,C2K,ACO-GRAANK,0.6,0.4274,224.3,6.0
286,C2K,ACO-GRAANK,0.6,0.5431,234.9,6.0
313,C2K,ACO-GRAANK,0.6,0.3293,209.3,5.0
403,C2K,ACO-GRAANK,0.6,1.1912,226.2,7.0
577,C2K,ACO-GRAANK,0.6,0.1198,143.6,2.0
614,C2K,ACO-GRAANK,0.6,3.627,249.2,15.0
619,C2K,ACO-GRAANK,0.6,0.2503,214.4,2.0
625,C2K,ACO-GRAANK,0.6,0.6439,221.5,7.0
134,C2K,ACO-LCM,0.6,12.894,871.0,198.0
158,C2K,ACO-LCM,0.6,12.889,851.4,197.0
203,C2K,ACO-LCM,0.6,12.835,842.7,196.0
224,C2K,ACO-LCM,0.6,13.178,859.7,199.0
386,C2K,ACO-LCM,0.6,12.931,849.2,196.0
496,C2K,ACO-LCM,0.6,12.925,880.5,198.0
581,C2K,ACO-LCM,0.6,13.281,872.9,197.0
594,C2K,ACO-LCM,0.6,12.648,850.1,196.0
661,C2K,ACO-LCM,0.6,12.918,872.8,197.0
34,C2K,GRAANK,0.6,9.5318,134.4,94.0
81,C2K,GRAANK,0.6,9.6334,134.4,94.0
198,C2K,GRAANK,0.6,9.6284,134.4,94.0
278,C2K,GRAANK,0.6,9.507,134.4,94.0
376,C2K,GRAANK,0.6,9.5141,134.4,94.0
562,C2K,GRAANK,0.6,9.4962,134.4,94.0
664,C2K,GRAANK,0.6,9.6151,134.4,94.0
669,C2K,GRAANK,0.6,9.5757,134.4,94.0
670,C2K,GRAANK,0.6,9.5382,134.4,94.0
27,C2K,ACO-GRAANK,0.7,3.7798,248.0,1.0
44,C2K,ACO-GRAANK,0.7,10.228,248.9,3.0
92,C2K,ACO-GRAANK,0.7,0.1032,139.8,1.0
