Data-set,Algorithm,Support,Run-time,Memory,Patterns
B_C,ACO-GRAANK (2.0),0.7,0.1313,205.3,0.0
B_C,ACO-GRAANK (2.0),0.7,0.0185,88.4,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0396,104.8,0.0
B_C,ACO-GRAANK (2.0),0.7,0.0616,133.6,0.0
B_C,ACO-GRAANK (2.0),0.7,0.0652,145.6,2.0
B_C,ACO-GRAANK (2.0),0.7,0.056,122.0,1.0
B_C,ACO-GRAANK (2.0),0.7,0.1913,131.2,0.0
B_C,ACO-LCM (1.0),0.7,0.5655,438.9,16.0
B_C,ACO-LCM (1.0),0.7,0.7105,448.8,32.0
B_C,ACO-LCM (1.0),0.7,0.5667,430.9,16.0
B_C,ACO-LCM (1.0),0.7,0.7185,441.9,32.0
B_C,ACO-LCM (1.0),0.7,0.5935,429.3,20.0
B_C,ACO-LCM (1.0),0.7,0.6483,440.9,25.0
B_C,ACO-LCM (1.0),0.7,0.616,432.1,23.0
B_C,ACO-LCM (1.0),0.7,0.6555,447.1,25.0
B_C,ACO-LCM (1.0),0.7,0.5664,418.5,16.0
B_C,ACO-LCM (1.0),0.7,0.582,437.8,16.0
B_C,ACO-LCM (1.0),0.7,0.5932,431.0,20.0
B_C,ACO-LCM (1.0),0.7,0.5179,404.0,8.0
B_C,ACO-LCM (1.0),0.7,0.5292,408.7,11.0
B_C,ACO-LCM (1.0),0.7,0.636,437.8,23.0
B_C,ACO-LCM (1.0),0.7,0.5081,397.0,8.0
B_C,ACO-LCM (1.0),0.7,0.5605,428.4,15.0
B_C,ACO-LCM (1.0),0.7,0.5851,423.7,16.0
B_C,ACO-LCM (1.0),0.7,0.4776,380.3,4.0
B_C,ACO-LCM (1.0),0.7,0.5533,414.7,13.0
B_C,ACO-LCM (1.0),0.7,0.5842,429.6,16.0
B_C,ACO-LCM (1.0),0.7,0.7462,462.7,36.0
B_C,ACO-LCM (1.0),0.7,0.5515,408.5,11.0
B_C,ACO-LCM (1.0),0.7,0.5296,410.7,10.0
B_C,ACO-LCM (1.0),0.7,0.805,461.6,41.0
B_C,ACO-LCM (1.0),0.7,0.4677,384.1,5.0
B_C,ACO-LCM (1.0),0.7,0.614,431.0,22.0
B_C,ACO-LCM (1.0),0.7,0.6114,438.5,21.0
B_C,ACO-LCM (1.0),0.7,0.7506,448.6,33.0
B_C,ACO-LCM (1.0),0.7,0.5943,428.8,20.0
B_C,ACO-LCM (1.0),0.7,0.4775,379.2,4.0
B_C,ACO-LCM (1.0),0.7,0.6033,435.8,21.0
B_C,ACO-LCM (1.0),0.7,0.4538,369.4,3.0
B_C,ACO-LCM (1.0),0.7,0.785,448.0,43.0
B_C,GRAANK,0.7,0.4565,50.1,4.0
B_C,GRAANK,0.7,0.4574,50.1,4.0
B_C,GRAANK,0.7,0.4583,50.1,4.0
B_C,GRAANK,0.7,0.4556,50.0,4.0
B_C,GRAANK,0.7,0.4584,50.1,4.0
B_C,GRAANK,0.7,0.4547,50.1,4.0
B_C,GRAANK,0.7,0.4585,50.1,4.0
B_C,GRAANK,0.7,0.4579,50.0,4.0
B_C,GRAANK,0.7,0.4587,50.1,4.0
B_C,GRAANK,0.7,0.4579,50.1,4.0
B_C,GRAANK,0.7,0.4533,50.1,4.0
B_C,GRAANK,0.7,0.4573,50.1,4.0
B_C,GRAANK,0.7,0.4559,50.1,4.0
B_C,GRAANK,0.7,0.4585,50.1,4.0
B_C,GRAANK,0.7,0.4548,50.1,4.0
B_C,GRAANK,0.7,0.4564,50.1,4.0
B_C,GRAANK,0.7,0.4587,50.1,4.0
B_C,GRAANK,0.7,0.456,50.1,4.0
B_C,GRAANK,0.7,0.455,50.1,4.0
B_C,GRAANK,0.7,0.4563,50.1,4.0
B_C,GRAANK,0.7,0.4567,50.1,4.0
B_C,GRAANK,0.7,0.4582,50.1,4.0
B_C,GRAANK,0.7,0.4557,50.1,4.0
B_C,GRAANK,0.7,0.4576,50.1,4.0
B_C,GRAANK,0.7,0.456,50.1,4.0
B_C,GRAANK,0.7,0.4568,50.0,4.0
B_C,GRAANK,0.7,0.4556,50.0,4.0
B_C,GRAANK,0.7,0.4557,50.1,4.0
B_C,GRAANK,0.7,0.4573,50.1,4.0
B_C,GRAANK,0.7,0.4585,50.1,4.0
B_C,GRAANK,0.7,0.457,50.1,4.0
B_C,GRAANK,0.7,0.4609,50.0,4.0
B_C,GRAANK,0.7,0.4559,50.1,4.0
B_C,LCM-GRAD (1.0),0.7,14.406,9755.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.585,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.675,9753.0,19.0
B_C,LCM-GRAD (1.0),0.7,15.535,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.611,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.506,9753.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.882,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.698,9921.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.502,9921.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.683,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.771,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.707,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.531,9753.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.49,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.789,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.52,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.576,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.851,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.715,9753.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.445,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,15.311,9738.0,19.0
B_C,LCM-GRAD (1.0),0.7,15.404,9753.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.769,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,15.081,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.601,9738.0,19.0
B_C,LCM-GRAD (1.0),0.7,15.074,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.715,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.603,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.523,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,15.459,9922.0,19.0
B_C,LCM-GRAD (1.0),0.7,15.131,9754.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.793,9755.0,19.0
B_C,LCM-GRAD (1.0),0.7,14.685,9754.0,19.0
B_C,ACO-GRAANK (2.0),0.8,0.0361,121.5,1.0
B_C,ACO-GRAANK (2.0),0.8,0.1249,191.5,1.0
